分组,需求,开发主体,测试主体,需求说明,安装文档,使用文档,测试分层策略,上游版本,软件包状态,测试用例,说明,Issue
内核,内核（内核升级到5.10）,sig-kernel,sig-QA,,,使用开源测试套LTP/mmtest,QAsig组验证本次内核版本的基本功能、稳定性、性能等指标，采用开源测试套LTP/mmtest等进行内核基本功能的测试保障；通过开源性能测试工具对内核性能进行验证，保证性能基基本持平，波动范围小于5%以内,21.03，22.03 SP1，23.03,已支持,已经升级到6.1.0,,
Web 服务,支持OpenResty(支持OpenResty 1.19.3.1),sig-OpenResty,sig-OpenResty,"OpenResty（也称为 ngx_openresty）是一个基于 Nginx 与 Lua 的高性能 Web 平台，其内部集成了大量精良的 Lua 库、第三方模块以及大多数的依赖项。用于方便地搭建能够处理超高并发、扩展性极高的动态 Web 应用、Web 服务和动态网关。
官网：http://openresty.org/cn/",,http://openresty.org/cn/installation.html,验证openResty平台在openEuler版本上的可安装性和基本功能,21.09，22.03，22.03 SP1，22.09,"obs中相关软件包：
openresty-pcre，openresty-openssl111，openresty-zlib是succeeded状态
openresty，openresty-valgrind是非succeeded状态，没有相关rpm包
openresty-openssl在obs中未引入",,,
编译器,jdk,Compiler,sig-QA,,,"https://docs.openeuler.org/zh/docs/22.03_LTS/docs/ApplicationDev/%E4%BD%BF%E7%94%A8GCC%E7%BC%96%E8%AF%91.html
https://docs.openeuler.org/zh/docs/22.03_LTS/docs/ApplicationDev/%E4%BD%BF%E7%94%A8JDK%E7%BC%96%E8%AF%91.html",基于开源测试套对jdk相关功能进行验证,22.03 SP1,obs中相关的软件包状态succeeded,,,
编译器,bishengjdk,Compiler,sig-QA,"毕昇JDK是华为内部基于OpenJDK定制的Huawei JDK的开源版本
openEuler官网：https://www.openeuler.org/zh/other/projects/bishengjdk/",,,基于开源测试套对bishengjdk相关功能进行验证,23.03,obs中相关软件包是succeeded状态,openjdk在修包适配阶段,,
桌面应用,Firefox,RISC-V,RISC-V,支持Firefox浏览器,,,,,,,,
桌面应用,Chromium,RISC-V,RISC-V,支持Chromium,,,,,,,,
桌面应用,Thunderbird,RISC-V,RISC-V,支持Thunderbird,,,,,,,,
桌面应用,Libreoffice,RISC-V,RISC-V,支持Libreoffice,,,,,,,,
桌面应用,VLC,RISC-V,RISC-V,支持VLC,,,,,,,,
桌面应用,GIMP,RISC-V,RISC-V,支持GIMP,,,,,,,,
,,,,,,,,,,,,
